OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
211,LINK-000928,Manhattan,POINT (-73.98256955477866 40.77488573089917),107,40.774894,-73.982571,Not Ready for CX,A - Link Live,133488,1972 BROADWAY,199 S,NY-MN,04/15/2016 12:00:00 AM +0000,mn-07-133488
212,LINK-000929,Manhattan,POINT (-73.98250555532235 40.77474873132735),107,40.774757,-73.982507,Not Ready for CX,A - Link Live,134275,1967 BROADWAY,15 N,NY-MN,04/15/2016 12:00:00 AM +0000,mn-07-134275
213,LINK-000930,Manhattan,POINT (-73.98240655550536 40.77463773109596),107,40.774646,-73.982408,Not Ready for CX,A - Link Live,134274,1967 BROADWAY,77 E,NY-MN,04/13/2016 12:00:00 AM +0000,mn-07-134274
214,LINK-000932,Manhattan,POINT (-73.98182755516 40.775381730194965),107,40.77539,-73.981829,Not Ready for CX,A - Link Live,121337,2008 BROADWAY,224 SW,NY-MN,04/28/2016 12:00:00 AM +0000,mn-07-121337
215,LINK-000939,Manhattan,POINT (-73.98242755481854 40.77646573025394),107,40.776474,-73.982429,Not Ready for CX,A - Link Live,133487,2029 BROADWAY,206 SW,NY-MN,04/23/2016 12:00:00 AM +0000,mn-07-133487
216,LINK-000942,Manhattan,POINT (-73.98189755542325 40.777128729570585),107,40.777137,-73.981899,Not Ready for CX,A - Link Live,121335,2040 BROADWAY,302 NW,NY-MN,04/13/2016 12:00:00 AM +0000,mn-07-121335
217,LINK-000945,Manhattan,POINT (-73.98217855479585 40.778598729879945),107,40.778607,-73.98218,Not Ready for CX,A - Link Live,108166,2077 BROADWAY,104 E,NY-MN,04/25/2016 12:00:00 AM +0000,mn-07-108166
218,LINK-000946,Manhattan,POINT (-73.98207255461679 40.77909072980008),107,40.779099,-73.982074,Not Ready for CX,A - Link Live,133403,2085 BROADWAY,80 E,NY-MN,04/20/2016 12:00:00 AM +0000,mn-07-133403
219,LINK-000947,Manhattan,POINT (-73.98198955528146 40.77932273032233),107,40.779331,-73.981991,Not Ready for CX,A - Link Live,133410,2095 BROADWAY,75 E,NY-MN,03/24/2016 12:00:00 AM +0000,mn-07-133410
220,LINK-000951,Manhattan,POINT (-73.98130755453415 40.78031272998017),107,40.780321,-73.981309,Not Ready for CX,A - Link Live,133408,2120 BROADWAY,318 NW,NY-MN,04/25/2016 12:00:00 AM +0000,mn-07-133408
221,LINK-000952,Manhattan,POINT (-73.98116655544878 40.780816728748434),107,40.780825,-73.981168,Not Ready for CX,A - Link Live,133406,2130 BROADWAY,307 NW,NY-MN,04/21/2016 12:00:00 AM +0000,mn-07-133406
222,LINK-000955,Manhattan,POINT (-73.98152255507573 40.78098472907689),107,40.780993,-73.981524,Not Ready for CX,A - Link Live,121315,2135 BROADWAY,101 E,NY-MN,03/31/2016 12:00:00 AM +0000,mn-07-121315
223,LINK-000957,Manhattan,POINT (-73.98095955553059 40.78146572872655),107,40.781474,-73.980961,Not Ready for CX,A - Link Live,109544,2150 BROADWAY,284 W,NY-MN,04/06/2016 12:00:00 AM +0000,mn-07-109544
224,LINK-000958,Manhattan,POINT (-73.98079155521678 40.78168572944942),107,40.781694,-73.980793,Not Ready for CX,A - Link Live,121223,2160 BROADWAY,240 SW,NY-MN,04/28/2016 12:00:00 AM +0000,mn-07-121223
