Date_Received,Appl_Type,CBLinkID,kiosktype,Latitude,Longitude,Borough,ZoningNumb,CB,Building_Number,Street_Name,Cross_Street 1,Cross_Street 2,LinkInHist,Landmark_Name,PavementTy,LinkInBID,BID_Name,permit_app,company_na,LinkInSADName,LinkInSAD,Location 1
08/23/2016,new site,LINK-018157,advertising unit,40.743218844119099,-73.920940176139794,Queens,C4-4A,2,,QUEENS BOULEVARD,49 STREET,50 STREET,NONE,,50 STREET,YES,Sunnyside Shines,81566,CityBridge LLC,,,"(40.743218844119099, -73.920940176139794)"
08/24/2016,new site,LINK-018159,advertising unit,40.743310958285399,-73.922389650835299,Queens,C4-4A,2,,QUEENS BOULEVARD,45 STREET,46 STREET,NONE,,46 STREET,YES,Sunnyside Shines,81568,CityBridge LLC,,,"(40.743310958285399, -73.922389650835299)"
08/24/2016,new site,LINK-018160,advertising unit,40.743416189664103,-73.922669829252499,Queens,C1-4/R7A,2,,QUEENS BOULEVARD,43 STREET,44 STREET,NONE,,44 STREET,YES,Sunnyside Shines,81569,CityBridge LLC,,,"(40.743416189664103, -73.922669829252499)"
08/24/2016,new site,LINK-018161,advertising unit,40.743398081947603,-73.9233308260809,Queens,C1-4/R7A,2,,42 STREET,QUEENS BOULEVARD,47 AVENUE,NONE,,47 AVENUE,YES,Sunnyside Shines,81570,CityBridge LLC,,,"(40.743398081947603, -73.9233308260809)"
08/24/2016,new site,LINK-018164,advertising unit,40.743493999999998,-73.923591999999999,Queens,C1-4/R7A,2,,41 STREET,41 STREET,42 STREET,NONE,,42 STREET,YES,Sunnyside Shines,81573,CityBridge LLC,,,"(40.743493999999998, -73.923591999999999)"
08/24/2016,new site,LINK-018165 ,advertising unit,40.743555000000001,-73.924155999999996,Queens,C2-2/R5,2,,QUEENS BOULEVARD,40 STREET,41 STREET,NONE,,41 STREET,YES,Sunnyside Shines,81574,CityBridge LLC,,,"(40.743555000000001, -73.924155999999996)"
08/24/2016,new site,LINK-018166,advertising unit,40.743720000000003,-73.925571000000005,Queens,C1-4/R7A,2,,QUEENS BOULEVARD,40 STREET,41 STREET,NONE,,41 STREET,YES,Sunnyside Shines,81575,CityBridge LLC,,,"(40.743720000000003, -73.925571000000005)"
08/24/2016,new site,LINK-018167,advertising unit,40.743634999999998,-73.924830999999998,Queens,C1-4/R7A,2,,QUEENS BOULEVARD,39 STREET,39 PLACE,NONE,,39 PLACE,YES,Sunnyside Shines,81576,CityBridge LLC,,,"(40.743634999999998, -73.924830999999998)"
08/24/2016,new site,LINK-018168,advertising unit,40.744071275288697,-73.9290407152792,Queens,C1-4/R7A,2,,QUEENS BOULEVARD,39 PLACE,40 STREET,NONE,,40 STREET,NO,,81577,CityBridge LLC,,,"(40.744071275288697, -73.9290407152792)"
08/24/2016,new site,LINK-018169,advertising unit,40.744595045179302,-73.9328519666132,Queens,M1-4,2,,36 STREET,QUEENS BOULEVARD,47 AVENUE,NONE,,47 AVENUE,NO,,81578,CityBridge LLC,,,"(40.744595045179302, -73.9328519666132)"
08/24/2016,new site,LINK-018170,advertising unit,40.744646354749399,-73.933394098796896,Queens,M1-4,2,,QUEENS BOULEVARD,THOMSON AVENUE,32 PLACE,NONE,,32 PLACE,NO,,81579,CityBridge LLC,,,"(40.744646354749399, -73.933394098796896)"
08/24/2016,new site,LINK-018171,advertising unit,40.744607999999999,-73.933725999999993,Queens,M1-4,2,,QUEENS BOULEVARD,THOMSON AVENUE,32 PLACE,NONE,,32 PLACE,NO,,81580,CityBridge LLC,,,"(40.744607999999999, -73.933725999999993)"
08/24/2016,new site,LINK-018172,advertising unit,40.744846352748297,-73.935548931535806,Queens,M1-5/R9/LIC,2,,VAN DAM STREET,44 DRIVE,ED KOCH BR UPPER ROADWAY APPR,NONE,,ED KOCH BR UPPER ROADWAY APPR,NO,,81581,CityBridge LLC,,,"(40.744846352748297, -73.935548931535806)"
08/24/2016,new site,LINK-018173,advertising unit,40.744891364454702,-73.936301104818199,Queens,M1-4,2,,31 STREET,30 PLACE,31 STREET,NONE,,31 STREET,NO,,81582,CityBridge LLC,,,"(40.744891364454702, -73.936301104818199)"
08/24/2016,new site,LINK-018174,advertising unit,40.832773279999998,-73.94563325,Queens,M1-4,2,,30 PLACE,30 PLACE,31 STREET,NONE,,31 STREET,NO,,81583,CityBridge LLC,,,"(40.832773279999998, -73.94563325)"
08/25/2016,new site,LINK-018175 ,advertising unit,40.83083542,-73.943392259999996,Manhattan,C2-4/R8,12,3740,BROADWAY,WEST  155 STREET,EDWARD M MORGAN PLACE,NONE,,EDWARD M MORGAN PLACE,NO,,81585,CityBridge LLC,,,"(40.83083542, -73.943392259999996)"
